month,passengers
Jan-49,1.89
Feb-49,1.88
Mar-49,1.88
Apr-49,1.88
May-49,1.88
Jun-49,1.88
Jul-49,1.88
Aug-49,1.88
Sep-49,1.87
Oct-49,1.87
Nov-49,1.87
Dec-49,1.86
Jan-50,1.86
Feb-50,1.86
Mar-50,1.86
Apr-50,1.86
May-50,1.85
Jun-50,1.85
Jul-50,1.85
Aug-50,1.88
Sep-50,1.88
Oct-50,1.88
Nov-50,1.87
Dec-50,1.87
Jan-51,1.87
Feb-51,1.86
Mar-51,1.86
Apr-51,1.86
May-51,1.85
Jun-51,1.85
Jul-51,1.88
Aug-51,1.86
Sep-51,1.85
Oct-51,1.85
Nov-51,1.84
Dec-51,1.84
Jan-52,1.83
Feb-52,1.82
Mar-52,1.82
Apr-52,1.81
May-52,1.81
Jun-52,1.81
Jul-52,1.81
Aug-52,1.81
Sep-52,1.8
Oct-52,1.79
Nov-52,1.78
Dec-52,1.82
Jan-53,1.82
Feb-53,1.8
Mar-53,1.79
Apr-53,1.78
May-53,1.78
Jun-53,1.77
Jul-53,1.76
Aug-53,1.75
Sep-53,1.75
Oct-53,1.75
Nov-53,1.74
Dec-53,1.73
Jan-54,1.72
Feb-54,1.71
Mar-54,1.71
Apr-54,1.7
May-54,1.7
Jun-54,1.69
Jul-54,1.69
Aug-54,1.68
Sep-54,1.68
Oct-54,1.67
Nov-54,1.67
Dec-54,1.66
Jan-55,1.66
Feb-55,1.65
Mar-55,1.65
Apr-55,1.64
May-55,1.64
Jun-55,1.64
Jul-55,1.63
Aug-55,1.62
Sep-55,1.62
Oct-55,1.62
Nov-55,1.62
Dec-55,1.61
Jan-56,1.6
Feb-56,1.6
Mar-56,1.6
Apr-56,1.6
May-56,1.59
Jun-56,1.69
Jan-49,1.63
Feb-49,1.62
Mar-49,1.61
Apr-49,1.59
May-49,1.59
Jun-49,1.59
Jul-49,1.58
Aug-49,1.58
Sep-49,1.57
Oct-49,1.57
Nov-49,1.57
Dec-49,1.56
Jan-50,1.56
Feb-50,1.57
Mar-50,1.57
Apr-50,1.56
May-50,1.55
Jun-50,1.54
Jul-50,1.55
Aug-50,1.54
Sep-50,1.53
Oct-50,1.53
Nov-50,1.53
Dec-50,1.53
Jan-51,1.52
Feb-51,1.52
Mar-51,1.51
Apr-51,1.51
May-51,1.51
Jun-51,1.53
Jul-51,1.54
Aug-51,1.52
Sep-51,1.51
Oct-51,1.51
Nov-51,1.5
Dec-51,1.5
Jan-52,1.49
Feb-52,1.49
Mar-52,1.49
Apr-52,1.48
May-52,1.48
Jun-52,1.48
Jul-52,1.48
Aug-52,1.5
Sep-52,1.48
Oct-52,1.48
Nov-52,1.47
Dec-52,1.47
Jan-53,1.47
Feb-53,1.46
Mar-53,1.46
Apr-53,1.45
May-53,1.45
Jun-53,1.45
Jul-53,1.45
Aug-53,1.44
Sep-53,1.44
Oct-53,1.44
Nov-53,1.44
Dec-53,1.44
Jan-54,1.47
Feb-54,1.45
Mar-54,1.45
Apr-54,1.44
May-54,1.43
Jun-54,1.43
Jul-54,1.43
Aug-54,1.43
Sep-54,1.42
Oct-54,1.42
Dec-53,1.42
Jan-54,1.41
Feb-54,1.41
Mar-54,1.41
Apr-54,1.41
May-54,1.4
Jun-54,1.42
Jul-54,1.43
