month,passengers
Jan-49,1.856487
Feb-49,1.846327
Mar-49,1.835349
Apr-49,1.835263
May-49,1.834646
Jun-49,1.835662
Jul-49,1.835146
Aug-49,1.825757
Sep-49,1.824774
Oct-49,1.824613
Nov-49,1.82462
Dec-49,1.814202
Jan-50,1.813752
Feb-50,1.81344
Mar-50,1.802598
Apr-50,1.802107
May-50,1.80258
Jun-50,1.803068
Jul-50,1.802778
Aug-50,1.847026
Sep-50,1.847417
Oct-50,1.836177
Nov-50,1.825781
Dec-50,1.825114
Jan-51,1.825582
Feb-51,1.814031
Mar-51,1.814769
Apr-51,1.813969
May-51,1.802766
Jun-51,1.804077
Jul-51,1.851803
Aug-51,1.830704
Sep-51,1.819904
Oct-51,1.809308
Nov-51,1.80461
Dec-51,1.799377
Jan-52,1.788443
Feb-52,1.782923
Mar-52,1.773034
Apr-52,1.773038
May-52,1.767872
Jun-52,1.762315
Jul-52,1.767617
Aug-52,1.762668
Sep-52,1.75173
Oct-52,1.74185
Nov-52,1.736091
Dec-52,1.793624
Jan-53,1.783189
Feb-53,1.767364
Mar-53,1.757018
Apr-53,1.746871
May-53,1.741717
Jun-53,1.736423
Jul-53,1.726322
Aug-53,1.715807
Sep-53,1.710533
Oct-53,1.706014
Nov-53,1.700311
Dec-53,1.69458
Jan-54,1.684903
Feb-54,1.674474
Mar-54,1.674569
Apr-54,1.663716
May-54,1.659014
Jun-54,1.653854
Jul-54,1.642654
Aug-54,1.637858
Sep-54,1.632735
Oct-54,1.627753
Nov-54,1.622125
Dec-54,1.611326
Jan-55,1.606563
Feb-55,1.601514
Mar-55,1.590369
Apr-55,1.585789
May-55,1.584943
Jun-55,1.595526
Jul-55,1.57473
Aug-55,1.564902
Sep-55,1.559766
Oct-55,1.559482
Nov-55,1.554689
Dec-55,1.548874
Jan-56,1.538237
Feb-56,1.527914
Mar-56,1.528525
Apr-56,1.522647
May-56,1.517486
Jun-56,1.605819
Jan-49,1.563849
Feb-49,1.548092
Mar-49,1.532376
Apr-49,1.526953
May-49,1.516957
Jun-49,1.511898
Jul-49,1.506564
Aug-49,1.501545
Sep-49,1.490844
Oct-49,1.485868
Nov-49,1.480414
Dec-49,1.47521
Jan-50,1.485904
Feb-50,1.496092
Mar-50,1.480801
Apr-50,1.469754
May-50,1.453901
Jun-50,1.454146
Jul-50,1.455024
Aug-50,1.449042
Sep-50,1.438671
Oct-50,1.433445
Nov-50,1.433396
Dec-50,1.428065
Jan-51,1.42292
Feb-51,1.417429
Mar-51,1.412409
Apr-51,1.412579
May-51,1.407598
Jun-51,1.433392
Jul-51,1.438255
Aug-51,1.417355
Sep-51,1.406982
Oct-51,1.401204
Nov-51,1.396701
Dec-51,1.391285
Jan-52,1.386229
Feb-52,1.380437
Mar-52,1.375236
Apr-52,1.370513
May-52,1.370509
Jun-52,1.364736
Jul-52,1.375392
Aug-52,1.386112
Sep-52,1.36985
Oct-52,1.364783
Nov-52,1.354322
Dec-52,1.354642
Jan-53,1.354704
Feb-53,1.349315
Mar-53,1.344189
Apr-53,1.338991
May-53,1.338915
Jun-53,1.334007
Jul-53,1.328644
Aug-53,1.323171
Sep-53,1.318169
Oct-53,1.318466
Nov-53,1.318293
Dec-53,1.323872
Jan-54,1.360122
Feb-54,1.339531
Mar-54,1.329029
Apr-54,1.323674
May-54,1.318634
Jun-54,1.313475
Jul-54,1.313202
Aug-54,1.307796
Sep-54,1.303033
Oct-54,1.303357
Dec-53,1.30341
Jan-54,1.297887
Feb-54,1.298074
Mar-54,1.293464
Apr-54,1.288003
May-54,1.287453
Jun-54,1.309015
Jul-54,1.325079
