month,passengers
Jan-49,2.035338
Feb-49,2.02514
Mar-49,2.013326
Apr-49,2.013285
May-49,2.000528
Jun-49,2.013899
Jul-49,2.013101
Aug-49,1.96879
Sep-49,1.968166
Oct-49,1.957231
Nov-49,1.945599
Dec-49,1.934751
Jan-50,1.92328
Feb-50,1.91189
Mar-50,1.901067
Apr-50,1.889199
May-50,1.878278
Jun-50,1.86757
Jul-50,1.867589
Aug-50,1.979627
Sep-50,1.95755
Oct-50,1.945815
Nov-50,1.924246
Dec-50,1.945981
Jan-51,1.901408
Feb-51,1.878674
Mar-51,1.868306
Apr-51,1.856024
May-51,1.8452
Jun-51,1.857229
Jul-51,1.924776
Aug-51,1.882232
Sep-51,1.855277
Oct-51,1.839251
Nov-51,1.81854
Dec-51,1.813477
Jan-52,1.797102
Feb-52,1.781005
Mar-52,1.771013
Apr-52,1.760471
May-52,1.750291
Jun-52,1.739493
Jul-52,1.754677
Aug-52,1.765939
Sep-52,1.733789
Oct-52,1.713326
Nov-52,1.702408
Dec-52,1.823719
Jan-53,1.808128
Feb-53,1.775761
Mar-53,1.744741
Apr-53,1.729207
May-53,1.708109
Jun-53,1.697595
Jul-53,1.682063
Aug-53,1.671477
Sep-53,1.660759
Oct-53,1.651121
Nov-53,1.640135
Dec-53,1.6292
Jan-54,1.60885
Feb-54,1.603524
Mar-54,1.598971
Apr-54,1.587627
May-54,1.582972
Jun-54,1.567138
Jul-54,1.561345
Aug-54,1.551171
Sep-54,1.540674
Oct-54,1.525314
Nov-54,1.530157
Dec-54,1.524657
Jan-55,1.514549
Feb-55,1.509392
Mar-55,1.503997
Apr-55,1.49352
May-55,1.487632
Jun-55,1.530288
Jul-55,1.504076
Aug-55,1.488759
Sep-55,1.478278
Oct-55,1.47846
Nov-55,1.473215
Dec-55,1.467516
Jan-56,1.451629
Feb-56,1.451924
Mar-56,1.447148
Apr-56,1.446854
May-56,1.441674
Jun-56,1.593587
Jan-49,1.54639
Feb-49,1.514706
Mar-49,1.498979
Apr-49,1.483111
May-49,1.472966
Jun-49,1.46276
Jul-49,1.451836
Aug-49,1.446867
Sep-49,1.44138
Oct-49,1.431211
Nov-49,1.426025
Dec-49,1.420488
Jan-50,1.420701
Feb-50,1.452256
Mar-50,1.431558
Apr-50,1.415016
May-50,1.409731
Jun-50,1.404917
Jul-50,1.395164
Aug-50,1.394534
Sep-50,1.389317
Oct-50,1.383838
Nov-50,1.373681
Dec-50,1.378606
Jan-51,1.37376
Feb-51,1.368258
Mar-51,1.363302
Apr-51,1.358097
May-51,1.353269
Jun-51,1.384161
Jul-51,1.405147
Aug-51,1.378719
Sep-51,1.368266
Oct-51,1.357315
Nov-51,1.352493
Dec-51,1.34741
Jan-52,1.337008
Feb-52,1.331235
Mar-52,1.32593
Apr-52,1.321579
May-52,1.321225
Jun-52,1.315649
Jul-52,1.320903
Aug-52,1.347433
Sep-52,1.326013
Oct-52,1.310119
Nov-52,1.305216
Dec-52,1.300406
Jan-53,1.300236
Feb-53,1.289507
Mar-53,1.279253
Apr-53,1.279208
May-53,1.274037
Jun-53,1.274127
Jul-53,1.263764
Aug-53,1.258137
Sep-53,1.25326
Oct-53,1.253231
Nov-53,1.248087
Dec-53,1.253435
Jan-54,1.289805
Feb-54,1.26354
Mar-54,1.247976
Apr-54,1.23212
May-54,1.227114
Jun-54,1.22174
Jul-54,1.211103
Aug-54,1.205616
Sep-54,1.200894
Oct-54,1.19059
Dec-53,1.185179
Jan-54,1.179671
Feb-54,1.174595
Mar-54,1.153818
Apr-54,1.164401
May-54,1.158797
Jun-54,1.174975
Jul-54,1.185675
